"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"220","관광펜션업","03_11_02_P","5540000","CDFI3261092017000001","20170522","","03","폐업","03","폐업","20171121","","","","","","","경기도 광주시 도척면 궁평리 401-1번지","경기도 광주시 도척면 궁뜰길 58-2","12808","K401","20171122095004","I","2018-08-31 23:59:59.0","","227962.966079961","426553.799179919","관광펜션업","","주거지역","2","","","","단독주택","2","1","","","","","","","","","","","","156.4","","","","","","","","","300000000","","","","156",
"221","관광펜션업","03_11_02_P","4400000","CDFI3261092009000001","20090707","","03","폐업","03","폐업","20131011","","","","","","390832","충청북도 제천시 청풍면 교리 227-4번지","충청북도 제천시 청풍면 청풍호로44길 29-9","390824","플로리안관광펜션(2)","20131014080827","I","2018-08-31 23:59:59.0","","304180.239381","391424.208569","관광펜션업","","관리지역","2","기타","","","단독주택","2","","","","","","","","","","","","","144.27","","","","","","","","","320000000","","","","144",
"222","관광펜션업","03_11_02_P","4400000","CDFI3261092009000002","20090707","","03","폐업","03","폐업","20180611","","","","","","390832","충청북도 제천시 청풍면 교리 227-3번지","충청북도 제천시 청풍면 청풍호로44길 29-7","27215","플로리안관광펜션(3)","20180612162300","I","2018-08-31 23:59:59.0","","304202.638976","391421.218295","관광펜션업","","관리지역","2","기타","","","단독주택","2","","","","","","","","","","","","","117.06","","","","","","","","","310000000","","","","117",
"223","관광펜션업","03_11_02_P","4400000","CDFI3261092009000003","20090707","","03","폐업","03","폐업","20180611","","","","","","390832","충청북도 제천시 청풍면 교리 227-2번지","충청북도 제천시 청풍면 청풍호로44길 29-5","27215","플로리안관광펜션(5)","20180612162226","I","2018-08-31 23:59:59.0","","304222.953607","391424.066313","관광펜션업","","관리지역","2","기타","","","단독주택","2","","","","","","","","","","","","","143.23","","","","","","","","","320000000","","","","143",
"224","관광펜션업","03_11_02_P","4400000","CDFI3261092009000004","20090707","","03","폐업","03","폐업","20180611","","","","","","390832","충청북도 제천시 청풍면 교리 227-1번지","충청북도 제천시 청풍면 청풍호로44길 29-1","27215","플로리안관광펜션(4)","20180612162243","I","2018-08-31 23:59:59.0","","304240.95821","391430.398532","관광펜션업","","관리지역","2","기타","","","단독주택","2","","","","","","","","","","","","","154.2","","","","","","","","","330000000","","","","154",
"225","관광펜션업","03_11_02_P","4400000","CDFI3261092009000005","20090707","","03","폐업","03","폐업","20180611","","","","","","390832","충청북도 제천시 청풍면 교리 227-5번지","충청북도 제천시 청풍면 청풍호로44길 29-11","27215","플로리안관광펜션(6)","20180612162206","I","2018-08-31 23:59:59.0","","304185.446783","391437.734123","관광펜션업","","관리지역","2","기타","","","단독주택","2","","","","","","","","","","","","","134.35","","","","","","","","","320000000","","","","134",
"226","관광펜션업","03_11_02_P","4400000","CDFI3261092009000007","20090709","","03","폐업","03","폐업","","","","","","","390832","충청북도 제천시 청풍면 교리 227-2번지","충청북도 제천시 청풍면 청풍호로44길 29-5","","플로리안관광펜션(5)","20170303111141","I","2018-08-31 23:59:59.0","","304222.953607","391424.066313","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","320000000","","","","",
"227","관광펜션업","03_11_02_P","4400000","CDFI3261092009000008","20090709","","03","폐업","03","폐업","","","","","","","390832","충청북도 제천시 청풍면 교리 227-1번지","충청북도 제천시 청풍면 청풍호로44길 29-1","","플로리안관광펜션(4)","20170303111031","I","2018-08-31 23:59:59.0","","304240.95821","391430.398532","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","330000000","","","","",
"228","관광펜션업","03_11_02_P","4400000","CDFI3261092009000009","20090709","","03","폐업","03","폐업","","","","","","","390832","충청북도 제천시 청풍면 교리 227-5번지","충청북도 제천시 청풍면 청풍호로44길 29-11","","플로리안관광펜션(1)","20170303141724","I","2018-08-31 23:59:59.0","","304185.446783","391437.734123","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","320000000","","","","",
"229","관광펜션업","03_11_02_P","4400000","CDFI3261092009000010","20090709","","03","폐업","03","폐업","","","","","","","390832","충청북도 제천시 청풍면 교리 227-3번지","충청북도 제천시 청풍면 청풍호로44길 29-7","","플로리안관광펜션(3)","20170303111334","I","2018-08-31 23:59:59.0","","304202.638976","391421.218295","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","310000000","","","","",
"230","관광펜션업","03_11_02_P","4400000","CDFI3261092009000011","20090709","","03","폐업","03","폐업","20180611","","","","","","390832","충청북도 제천시 청풍면 교리 227-4번지","충청북도 제천시 청풍면 청풍호로44길 29-9","","플로리안관광펜션(2)","20180612162345","I","2018-08-31 23:59:59.0","","304180.239381","391424.208569","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","320000000","","","","",
"231","관광펜션업","03_11_02_P","4400000","CDFI3261092009000012","20090709","","03","폐업","03","폐업","20180611","","","","","","390832","충청북도 제천시 청풍면 교리 227-6번지","충청북도 제천시 청풍면 청풍호로44길 29-1","","플로리안관광펜션(1)","20180612162359","I","2018-08-31 23:59:59.0","","304245.829329","391415.466727","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450000000","","","","",
"232","관광펜션업","03_11_02_P","4480000","CDFI3261092003000002","20031203","","03","폐업","03","폐업","20140609","","","","(043)422-4865","","395821","충청북도 단양군 가곡면 가대리 1132번지","충청북도 단양군 가곡면 가대1길 51-7","395820","펜션단양여행","20140609171029","I","2018-08-31 23:59:59.0","","325246.400695","394385.380774","관광펜션업","관광사업","전용주거지역","2","기타","","","숙박시설","2","","","","","","","","","","","","","153.76","","","","","","","","","","","","","154",
"233","관광펜션업","03_11_02_P","4480000","CDFI3261092004000002","20041019","","03","폐업","03","폐업","20200211","","","","(043)422-2002","","395821","충청북도 단양군 가곡면 가대리 1134번지","충청북도 단양군 가곡면 가대1길 51-3","395820","티파니펜션","20200212085457","U","2020-02-14 02:40:00.0","","325277.566599","394360.115921","관광펜션업","관광사업","일반주거지역","2","기타","","","다가구용 주택(공동주택적용)","2","","","","","","","","","","","","","204.42","","","","","","","","","","","","","204",
"234","관광펜션업","03_11_02_P","4480000","CDFI3261092004000003","20040625","","03","폐업","03","폐업","20131018","","","","","","395821","충청북도 단양군 가곡면 가대리 1131번지","충청북도 단양군 가곡면 가대2길 20","395820","사계절단양","20131022092327","I","2018-08-31 23:59:59.0","","325260.401069","394414.313779","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"235","관광펜션업","03_11_02_P","4480000","CDFI3261092005000001","20050415","","03","폐업","03","폐업","20161109","","","","","","395801","충청북도 단양군 단양읍 천동리 177-8번지","충청북도 단양군 단양읍 천동1길 17","27024","다리안펜션","20161109142158","I","2018-08-31 23:59:59.0","","326197.493774","386853.385085","관광펜션업","관광사업","준주거지역","2","기타","","","숙박시설","2","","","","","","","","","","","","","199.88","","","","","","","","","100000000","","","","200",
"236","관광펜션업","03_11_02_P","4400000","CDFI3261092003000001","20031203","","03","폐업","03","폐업","20060808","","","","","","390831","충청북도 제천시 청풍면 계산리 13-1번지","","","드림레이크관광펜션","20060808092317","I","2018-08-31 23:59:59.0","","300861.368599","391653.538157","관광펜션업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"237","관광펜션업","03_11_02_P","3570000","CDFI3261092009000001","20090806","","03","폐업","03","폐업","20150209","","","","032-937-8885","","417861","인천광역시 강화군 화도면 내리 2159-15번지","인천광역시 강화군 화도면 해안남로 2709-8","417861","펜션 씨엘로","20150209184508","I","2018-10-09 15:19:31.0","","145053.573803119","459519.968790454","관광펜션업","","관리지역","2","기타","","","여인숙","2","","","","","","","","","","","","","201.95","","","","","","","","","","","","","202",
"238","관광펜션업","03_11_02_P","3570000","CDFI3261092018000002","20181010","","03","폐업","03","폐업","20190801","","","","","","","인천광역시 강화군 강화읍 월곳리 173-8번지","인천광역시 강화군 강화읍 연미정길36번길 48-26","23021","나니하우스","20190801175401","U","2019-08-03 02:40:00.0","","156383.431682711","474674.457747733","관광펜션업","","","2","기타","","","단독주택","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"239","관광펜션업","03_11_02_P","5120000","CDFI3261092005000001","20051031","","01","영업/정상","13","영업중","","","","","572-3375","","745862","경상북도 문경시 마성면 신현리 468-10","경상북도 문경시 마성면 구랑로 333","36923","강이 있는 풍경","20211001140318","U","2021-10-03 02:40:00.0","","300112.510242576","351902.958442811","관광펜션업","관광사업","관리지역","2","기타","","","숙박시설","2","0","0","0","","","0","0","","0","0","","0","135.1","","0","","","","","","","1000000000","","","","135",
"240","관광펜션업","03_11_02_P","5120000","CDFI3261092003000001","20031229","","01","영업/정상","13","영업중","","","","","571-1961","","745803","경상북도 문경시 문경읍 요성리 188번지","경상북도 문경시 문경읍 주흘로 241-14","745803","리앙스","20190528135610","U","2019-05-30 02:40:00.0","","300988.024331974","360123.323904339","관광펜션업","관광사업","관리지역","2","기타","","","단독주택","2","","","","","","","","","","","","","231.86","","","","","","","","","200000000","","","","232",
"241","관광펜션업","03_11_02_P","5120000","CDFI3261092008000001","20080522","","01","영업/정상","13","영업중","","","","","572-3762","","745801","경상북도 문경시 문경읍 하초리 365번지","경상북도 문경시 문경읍 새재1길 47","","문경새재국민여가캠핑장","20080522170519","I","2018-08-31 23:59:59.0","","295985.445223152","362034.001267345","관광펜션업","관광사업","관리지역","2","기타","","","숙박시설","1","","","","","","","","","","","","","3206","","","","","","","","","2000000000","","","","3206",
"242","관광펜션업","03_11_02_P","5050000","CDFI3261092015000001","20150626","","01","영업/정상","13","영업중","","","","","","","780410","경상북도 경주시 마동","경상북도 경주시 보불로 66-29 (마동)","38126","서라벌 토기 관광펜션","20150626100538","I","2018-08-31 23:59:59.0","","409302","257051","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"243","관광펜션업","03_11_02_P","5120000","CDFI3261092009000001","20090821","","01","영업/정상","13","영업중","","","","","054-572-3341","","745803","경상북도 문경시 문경읍 고요리 72-1번지","경상북도 문경시 문경읍 활공장길 115","36912","이둔펜션","20200130154034","U","2020-02-01 02:40:00.0","","303289.910675221","360275.224933497","관광펜션업","","","","","","","","","","","","","","","","","","","","","118.3","","","","","","","","","","","","","118",
"244","관광펜션업","03_11_02_P","5120000","CDFI3261092010000001","20100219","","01","영업/정상","13","영업중","","","","","054-571-6542","","745903","경상북도 문경시 가은읍 완장리 432번지","경상북도 문경시 가은읍 용추길 60-4","36993","청수펜션","20200130154054","U","2020-02-01 02:40:00.0","","285820.207702243","352771.363005116","관광펜션업","","관리지역","","기타","","","","","","","","","","","","","","","","","131","","","","","","","","","","","","","131",
"245","관광펜션업","03_11_02_P","5120000","CDFI3261092013000001","20130423","","01","영업/정상","13","영업중","","","","","054-571-7777","","745801","경상북도 문경시 문경읍 상초리 288-8","경상북도 문경시 문경읍 새재2길 18","36919","꿈꾸는 새재펜션","20210329101721","U","2021-03-31 02:40:00.0","","296187.373532365","362633.534751003","관광펜션업","","자연녹지지역","3","기타","","","숙박시설","3","","","","","","","","","","","","","63","","","","","","","","","","","","","63",
"246","관광펜션업","03_11_02_P","5120000","CDFI3261092016000001","20160609","","01","영업/정상","13","영업중","","","","","","","","경상북도 문경시 문경읍 상초리 288-10번지","경상북도 문경시 문경읍 새재2길 10","36919","문경가름펜션","20160609163738","I","2018-08-31 23:59:59.0","","296215.631119744","362553.417435725","관광펜션업","","준주거지역","2","기타","","","숙박시설","2","0","","","","","","","","","","","","490.95","","","","","","","","","","","","","491",
"247","관광펜션업","03_11_02_P","4510000","CDFI3261092015000009","20150619","","01","영업/정상","13","영업중","","","","","","","355884","충청남도 보령시 남포면 월전리 산 154-1번지 102동","충청남도 보령시 남포면 남포방조제로 408-52, 102동","33501","(주)케이씨티","20150619145903","I","2018-08-31 23:59:59.0","","158540.31976800000","308979.85390400000","관광펜션업","","관리지역","2","기타","","","","2","","","","Korea Computer Terminal Inc.","Tourism Pension","","","","","","","","128.48","","","","","","","","","8575000000","","","","128",
"248","관광펜션업","03_11_02_P","4510000","CDFI3261092015000010","20150619","","01","영업/정상","13","영업중","","","","","02-398-1712","","355884","충청남도 보령시 남포면 월전리 산 154-1번지 205동","충청남도 보령시 남포면 남포방조제로 408-52, 205동","33501","(주)한국문학사","20150619150221","I","2018-08-31 23:59:59.0","","158540.31976800000","308979.85390400000","관광펜션업","","관리지역","2","기타","","","","2","","","","Korean Literature Inc.","Tourism Pension","","","","","","","","116.73","","","","","","","","","36070000000","","","","117",
"249","관광펜션업","03_11_02_P","4510000","CDFI3261092015000011","20150619","","01","영업/정상","13","영업중","","","","","02-398-1710","","355884","충청남도 보령시 남포면 월전리 산 154-1번지 206동","충청남도 보령시 남포면 남포방조제로 408-52, 206동","33501","(주)한상개발","20150619150518","I","2018-08-31 23:59:59.0","","158540.31976800000","308979.85390400000","관광펜션업","","관리지역","2","기타","","","","2","","","","Hansang Development Inc.","Tourism Pension","","","","","","","","116.73","","","","","","","","","5514000000","","","","117",
"250","관광펜션업","03_11_02_P","4510000","CDFI3261092015000012","20150625","","01","영업/정상","13","영업중","","","","","","","355943","충청남도 보령시 신흑동 2257-2번지","충청남도 보령시 해수욕장9길 16-6 (신흑동)","33489","유투관광펜션","20150625102633","I","2018-08-31 23:59:59.0","","156035.466734","312962.070404","관광펜션업","","관리지역","3","기타","","","숙박시설","3","","","","U2 Pension","Tourism Pension","","","","","","","","386.4","","","","","","","","","","","","","386",
"251","관광펜션업","03_11_02_P","4510000","CDFI3261092015000013","20150701","","01","영업/정상","13","영업중","","","","","","","355944","충청남도 보령시 신흑동 2303-6번지","충청남도 보령시 고잠2길 16-18 (신흑동)","33488","대천바다여행펜션","20150701124730","I","2018-08-31 23:59:59.0","","156522.261889","312458.679295","관광펜션업","","관리지역","3","기타","","","숙박시설","3","","","","Daecheon sea voyage Pension","Tourism Pension","","","","","","","","379.17","","","","","","","","","","","","","379",
"252","관광펜션업","03_11_02_P","4510000","CDFI3261092016000002","20160819","","01","영업/정상","13","영업중","","","","","","","","충청남도 보령시 신흑동 2301-11번지","충청남도 보령시 고잠2길 20-5 (신흑동)","33488","난다펜션","20171024091556","I","2018-08-31 23:59:59.0","","156445.347975","312490.428095","관광펜션업","","","3","","","","","3","","","","Nanda pension","Tourism Pension","","","","","","","","218","","","","","","","","","","","","","218",
"253","관광펜션업","03_11_02_P","4510000","CDFI3261092018000001","20180607","","01","영업/정상","13","영업중","","","","","041-933-5426","","","충청남도 보령시 신흑동 2302-3번지","충청남도 보령시 고잠2길 20-8, 보헤미안펜션 (신흑동)","33488","보헤미안펜션","20180730110012","I","2018-08-31 23:59:59.0","","156468.145744","312475.36606","관광펜션업","","관리지역","3","주택가주변","","","숙박시설","3","","","","Bohemian Pension","Tourism Pension","","","","","","","","390.96","","","","","","","","","","","","","391",
"254","관광펜션업","03_11_02_P","4510000","CDFI3261092018000002","20180724","","01","영업/정상","13","영업중","","","","","","","","충청남도 보령시 신흑동 2256-4번지","충청남도 보령시 해수욕장9길 2-27 (신흑동)","33489","숨펜션","20180724105736","I","2018-08-31 23:59:59.0","","156124.327709","313010.564468","관광펜션업","","관리지역","3","기타","","","숙박시설","3","1","","","Soom Pension","Tourism Pension","","","","","","","","498.29","","","","","","","","","1000000000","","","","498",
"255","관광펜션업","03_11_02_P","4510000","CDFI3261092015000007","20150618","","01","영업/정상","13","영업중","","","","","041-589-3300","","355884","충청남도 보령시 남포면 월전리 산 154-1번지 101, 204동","충청남도 보령시 남포면 남포방조제로 408-52, 101, 204동","33501","한국컴퓨터(주)","20180129130722","I","2018-08-31 23:59:59.0","","158540.31976800000","308979.85390400000","관광펜션업","","관리지역","2","기타","","","숙박시설","2","","","","Korea Computer Inc.","Tourism Pension","","","","","","","","385.4","","","","","","","","","8035000000","","","","385",
"256","관광펜션업","03_11_02_P","4620000","CDFI3261092006000002","20061114","","01","영업/정상","13","영업중","","","","","","","","충청남도 태안군 남면 양잠리 1230-66번지","충청남도 태안군 남면 안면대로 1296-40","32155","빨간풍선","20200110135644","U","2020-01-12 02:40:00.0","","137693.915448","349136.794788","관광펜션업","","관리지역","","기타","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"257","관광펜션업","03_11_02_P","4620000","CDFI3261092008000004","20080612","","01","영업/정상","13","영업중","","","","","","","","충청남도 태안군 남면 원청리 512-31번지","충청남도 태안군 남면 청포대길 57-34","32157","팜비치","20200110135718","U","2020-01-12 02:40:00.0","","137473.297943","348729.685507","관광펜션업","","관리지역","","","","","숙박시설","","","","","","","","","","","","","","425.46","","","","","","","","","","","","","425",
"258","관광펜션업","03_11_02_P","4620000","CDFI3261092008000005","20081223","","01","영업/정상","13","영업중","","","","","","","","충청남도 태안군 원북면 청산리 87-54번지","충청남도 태안군 원북면 나루터길 438-8","32111","풍경","20170908172027","I","2018-08-31 23:59:59.0","","138681.251029","370316.066677","관광펜션업","","관리지역","3","","","","숙박시설","2","1","","","","","","","","","","","","709.78","","","","","","","","","","","","","710",
"259","관광펜션업","03_11_02_P","4620000","CDFI3261092008000006","20081204","","01","영업/정상","13","영업중","","","","","041-6575-8634","","","충청남도 태안군 남면 양잠리 1230-11번지","충청남도 태안군 남면 청포대길 104","32155","레이","20170313150854","I","2018-08-31 23:59:59.0","","137503.304226","349340.038249","관광펜션업","","관리지역","4","","","","숙박시설","3","1","","","","","","","","","","","","658.14","","","","","","","","","","","","","658",
"260","관광펜션업","03_11_02_P","4620000","CDFI3261092008000008","20080612","","01","영업/정상","13","영업중","","","","","","","","충청남도 태안군 남면 양잠리 1230-18","충청남도 태안군 남면 청포대길 96","32155","나폴리","20211110085841","U","2021-11-12 02:40:00.0","","137518.866227","349280.511394","관광펜션업","","관리지역","3","","","","숙박시설","3","","","","","","","","","","","","","790.78","","","","","","","","","","","","","791",
"261","관광펜션업","03_11_02_P","4620000","CDFI3261092008000009","20080612","","01","영업/정상","13","영업중","","","","","041-674-0321","","","충청남도 태안군 안면읍 정당리 1300-3번지","충청남도 태안군 안면읍 해안관광로 510-5 (장꽁펜션)","32163","장꽁(카멜리아)","20170313152056","I","2018-08-31 23:59:59.0","","140014.460153","338468.588631","관광펜션업","","관리지역","1","","","","숙박시설","1","","","","","","","","","","","","","93.92","","","","","","","","","","","","","94",
"262","관광펜션업","03_11_02_P","4620000","CDFI3261092009000002","20090529","","01","영업/정상","13","영업중","","","","","041-672-2657","","","충청남도 태안군 남면 신장리 353-41번지","충청남도 태안군 남면 몽산포길 67-34","32153","아라","20170313140429","I","2018-08-31 23:59:59.0","","136150.475399","352483.686941","관광펜션업","","","3","","","","숙박시설","3","","","","","","","","","","","","","287.82","","","","","","","","","","","","","288",
"263","관광펜션업","03_11_02_P","4620000","CDFI3261092010000001","20100511","","01","영업/정상","13","영업중","","","","","","","357952","충청남도 태안군 남면 원청리 512-20번지","충청남도 태안군 남면 청포대길 29","","청포대하와이","20110719170135","I","2018-08-31 23:59:59.0","","137722.866577","348843.62342","관광펜션업","","관리지역","1","주택가주변","","","여인숙","1","","","","","","","","","","","","","334.99","","","","","","","","","2000000000","","","","335",
"264","관광펜션업","03_11_02_P","4620000","CDFI3261092010000003","20100727","","01","영업/정상","13","영업중","","","","","041-673-1587","","357942","충청남도 태안군 근흥면 도황리 346-16번지","충청남도 태안군 근흥면 용도로 99","32130","연포펜션","20190501110205","U","2019-05-03 02:40:00.0","","129422.14354600000","355509.58479700000","관광펜션업","","자연녹지지역","3","기타","","","숙박시설","3","0","","","","","","","","","","","","614.88","","","","","","","","","400000000","","","","615",
"265","관광펜션업","03_11_02_P","4620000","CDFI3261092010000005","20100805","","01","영업/정상","13","영업중","","","","","041-674-1496","","357953","충청남도 태안군 남면 신온리 952-19번지","충청남도 태안군 남면 마검포길 313-40","","린더버그","20100805083318","I","2018-08-31 23:59:59.0","","136499.277606","345498.256934","관광펜션업","","관리지역","3","기타","","","숙박시설","3","","","","","","","","","","","","","559.29","","","","","","","","","1445438120","","","","559",
"266","관광펜션업","03_11_02_P","4620000","CDFI3261092006000001","20060612","","01","영업/정상","13","영업중","","","","","041-674-4100","","","충청남도 태안군 남면 양잠리 1230-19번지","충청남도 태안군 남면 청포대길 94","32155","화가의정원","20200110135532","U","2020-01-12 02:40:00.0","","137523.611222","349262.682537","관광펜션업","","관리지역","","기타","","","","","","","","Pension A.G","Tourist Pension","","","","","","","","","","","","","","","","","","","","","",
"267","관광펜션업","03_11_02_P","4620000","CDFI3261092008000001","20080115","","01","영업/정상","13","영업중","","","","","041-674-0321","","357963","충청남도 태안군 안면읍 정당리 1314-7번지","충청남도 태안군 안면읍 해안관광로 510-5","32163","장꽁펜션","20150522155859","I","2018-08-31 23:59:59.0","","139958.022932","338353.839351","관광펜션업","","","","","","","","","","","","","","","","","","","","","297","","","","","","","","","","","","","297",
"268","관광펜션업","03_11_02_P","4620000","CDFI3261092008000002","20080220","","01","영업/정상","13","영업중","","","","","041-674-5988","","","충청남도 태안군 남면 양잠리 1230-15","충청남도 태안군 남면 청포대길 98","32155","가장자리","20211110085947","U","2021-11-12 02:40:00.0","","137514.15146","349298.429376","관광펜션업","","","","","","","","","","","","","","","","","","","","","673","","","","","","","","","","","","","673",
"269","관광펜션업","03_11_02_P","4620000","CDFI3261092008000003","20080529","","01","영업/정상","13","영업중","","","","","041-673-0515","","","충청남도 태안군 고남면 장곡리 403-18번지","충청남도 태안군 고남면 큰장돌길 141-98 (지중해아침)","32170","지중해아침1","20170313141852","I","2018-08-31 23:59:59.0","","143550.213391","323889.219125","관광펜션업","","관리지역","3","기타","","","숙박시설","3","0","","","","","","","","","","","","522.84","","","","","","","","","","","","","523",
"270","관광펜션업","03_11_02_P","4530000","CDFI3261092011000001","20110930","","01","영업/정상","13","영업중","","","","","041-663-0890","","356835","충청남도 서산시 운산면 고풍리 166-2번지","충청남도 서산시 운산면 봉운로 982-13","356835","백제의 미소","20140227105235","I","2018-08-31 23:59:59.0","","166076.390592","363214.384657","관광펜션업","","관리지역","1","기타","","","숙박시설","","","","","","","","","","","","","","1000","","","","","","","","","150000000","","","","1000",
"271","관광펜션업","03_11_02_P","4620000","CDFI3261092010000006","20100805","","01","영업/정상","13","영업중","","","","","041-675-7273","","357922","충청남도 태안군 이원면 내리 584-16","충청남도 태안군 이원면 원이로 2492","","별궁","20210803102228","U","2021-08-05 02:40:00.0","","137711.26026","382355.152784","관광펜션업","","관리지역","1","기타","","","숙박시설","1","1","0","0","","","0","0","","0","0","","0","789.01","","0","","","","","","","1514000000","","","","789",
"272","관광펜션업","03_11_02_P","4620000","CDFI3261092010000007","20100806","","01","영업/정상","13","영업중","","","","","041-674-8010","","","충청남도 태안군 남면 신온리 952-5번지 엘도라도","충청남도 태안군 남면 마검포길 331, 엘도라도","32158","엘도라도","20190102173637","U","2019-01-04 02:40:00.0","","136466.511225","345851.610946","관광펜션업","","관리지역","3","기타","","","숙박시설","3","","","","","","","","","","","","","520.62","","","","","","","","","400000000","","","","521",
"273","관광펜션업","03_11_02_P","4620000","CDFI3261092017000010","20080529","","01","영업/정상","13","영업중","","","","","","","","충청남도 태안군 고남면 장곡리 403-17번지 지중해아침","충청남도 태안군 고남면 큰장돌길 141-98","32170","지중해아침2","20200110135810","U","2020-01-12 02:40:00.0","","143547.452931","323923.957578","관광펜션업","","관리지역","3","","","","숙박시설","3","","","","","","","","","","","","","612.74","","","","","","","","","","","","","613",
"274","관광펜션업","03_11_02_P","4620000","CDFI3261092012000004","20120822","","01","영업/정상","13","영업중","","","","","","","357912","충청남도 태안군 원북면 신두리 1414-4번지","충청남도 태안군 원북면 신두해변길 135","","마로니에 펜션","20170908171936","I","2018-08-31 23:59:59.0","","127104.517098","370871.945272","관광펜션업","","관리지역","2","기타","","","숙박시설","2","","","","Marronnier","Tourist pension","","","","","","","","385.54","","","","","","","","","50000000","","","","386",
"275","관광펜션업","03_11_02_P","4620000","CDFI3261092012000006","20120517","","01","영업/정상","13","영업중","","","","","041-673-7785","","","충청남도 태안군 남면 몽산리 661-9번지","충청남도 태안군 남면 몽대로 512-17","32152","파도소리","20200515102430","U","2020-05-17 02:40:00.0","","134671.293337","352782.084021","관광펜션업","","관리지역","3","","","","숙박시설","3","","","","","","","","","","","","","408.41","","","","","","","","","","","","","408",
"276","관광펜션업","03_11_02_P","4620000","CDFI3261092014000001","20140708","","01","영업/정상","13","영업중","","","","","","","357972","충청남도 태안군 고남면 장곡리 141-1번지","충청남도 태안군 고남면 안면대로 3741-119","32170","모석원 (Moseokwon)","20190514110429","U","2019-05-16 02:40:00.0","","145182.395794","328338.182258","관광펜션업","","관리지역","2","기타","","","숙박시설","2","","","","","","","","","","","","","979","","","","","","","","","300000000","","","","979",
"277","관광펜션업","03_11_02_P","4620000","CDFI3261092010000008","20100817","","01","영업/정상","13","영업중","","","","","","","357952","충청남도 태안군 남면 원청리 562-16번지","충청남도 태안군 남면 별주부길 116","","소나무 풍경","20100817151513","I","2018-08-31 23:59:59.0","","137638.354862","348338.985854","관광펜션업","","관리지역","2","기타","","","숙박시설","2","1","","","","","","","","","","","","340.54","","","","","","","","","700000000","","","","341",
"278","관광펜션업","03_11_02_P","4620000","CDFI3261092010000011","20101202","","01","영업/정상","13","영업중","","","","","","","357963","충청남도 태안군 안면읍 정당리 968-5번지","충청남도 태안군 안면읍 안면대로 2608-72","","파인웰스","20101202145756","I","2018-08-31 23:59:59.0","","141819.881083","337990.334559","관광펜션업","","관리지역","2","기타","","","숙박시설","","","","","","","","","","","","","","446.15","","","","","","","","","","","","","446",
"279","관광펜션업","03_11_02_P","4620000","CDFI3261092010000012","20101206","","01","영업/정상","13","영업중","","","","","674-8529","","357952","충청남도 태안군 남면 원청리 512-131번지","충청남도 태안군 남면 청포대길 57-38","","칸타빌레","20101206175337","I","2018-08-31 23:59:59.0","","137481.180183","348681.242466","관광펜션업","","자연녹지지역","4","","","","숙박시설","3","1","","","","","","","","","","","","998.96","","","","","","","","","500000000","","","","999",
"280","관광펜션업","03_11_02_P","4620000","CDFI3261092011000001","20110222","","01","영업/정상","13","영업중","","","","","","","357907","충청남도 태안군 태안읍 삭선리 340-14번지","충청남도 태안군 태안읍 원이로 254-21","","관관농원 백화원","20180726180208","I","2018-08-31 23:59:59.0","","135773.128871","364552.477749","관광펜션업","","관리지역","1","기타","","","숙박시설","1","","","","Tourist Plantation Cantabile","Tourist Pension","","","","","","","","1092.64","","","","","","","","","","","","","1093",
"281","관광펜션업","03_11_02_P","4620000","CDFI3261092011000002","20110711","","01","영업/정상","13","영업중","","","","","","","357952","충청남도 태안군 남면 양잠리 1230-86번지","충청남도 태안군 남면 안면대로 1296-36","","소소","20110711142741","I","2018-08-31 23:59:59.0","","137708.298863","349206.586846","관광펜션업","","관리지역","2","기타","","","숙박시설","2","0","","","","","","","","","","","","246.97","","","","","","","","","100000000","","","","247",
